state,reg slope,reg int,R,R2,pattern,indicator
AFG,-0.8199249626639799,7.572167760443815,-0.9778847264879273,0.9562585382983685,primate,0.496
DZA,-0.7788775916175864,7.727907099419979,-0.9851281402292095,0.970477452671461,primate,0.763
AGO,-1.1559671692916431,8.690197839917108,-0.9852216801569259,0.970661759051236,primate,0.616
ARG,-1.0870216416787808,8.570550855383143,-0.9877974716256168,0.9757438449499612,primate,0.865
AUS,-1.399618741385881,8.491152389390148,-0.9643516716850982,0.9299741466818434,binary,0.958
AUT,-1.668029736656306,7.333652900750817,-0.9785283818039953,0.9575177939959455,primate,0.93
AZE,-1.058777059737132,6.91840216332494,-0.9632643819212977,0.9278782694782197,primate,0.789
BGD,-0.9271857946825535,9.094949653986394,-0.9893388898537133,0.9787914389769778,primate,0.685
BLR,-1.1834767278482015,7.499135627451803,-0.9679392972281605,0.9369064831185453,primate,0.824
BEL,-1.2489198980040783,7.186952836853785,-0.9778227765296907,0.9561373823002335,primate,0.951
BEN,-1.0168051742294704,7.140603831712467,-0.9648763403577817,0.9309863521822258,primate,0.515
BOL,-1.6055346592867827,8.273095190626291,-0.9603874886169975,0.9223441282920636,log-normal,0.733
BRA,-1.003220320014223,9.789069070448924,-0.9986213424845949,0.9972445856657346,binary,0.786
BGR,-1.4261116435427381,6.912360019290842,-0.9842357203615024,0.9687199532355256,primate,0.845
BFA,-1.0437599424683417,7.075723154588437,-0.9310360901013749,0.8668282010712555,primate,0.459
BDI,-1.1178183340307968,6.566339622382213,-0.9543374540631148,0.9107599762276677,primate,0.439
KHM,-1.43902196142283,7.224559697197652,-0.9692955966898968,0.9395339537624232,primate,0.606
CMR,-1.1000558430330503,8.146653485858643,-0.9776029571391758,0.9557075418072611,binary,0.588
CAN,-1.1471610600145556,8.688675198428859,-0.9969022259443171,0.9938140480927342,primate,0.939
TCD,-0.7920139389733387,6.923106678449729,-0.9678840137898292,0.9367994641499103,primate,0.416
CHL,-1.1112198412575869,7.944378514582281,-0.9787678904316668,0.9579865833400553,primate,0.878
CHN,-0.92203290844862,11.049714013554354,-0.9982735289408267,0.9965500385839715,binary,0.797
TWN,-1.676059689323467,9.189795891434908,-0.9943229923150259,0.988678213046307,primate,
COL,-1.165561347801796,9.057358791641823,-0.9964866583090746,0.9929856601879863,primate,0.788
CUB,-0.9375410993625201,7.032699516139505,-0.9831747928247904,0.9666326732460695,primate,0.762
CZE,-1.1223124919681966,6.614116288305071,-0.9595306392755145,0.9206990477084775,primate,0.915
CIV,-0.9507697524949674,7.47157954668665,-0.9636497911813932,0.9286209200439426,primate,0.582
PRK,-0.678288859747037,7.160651464508778,-0.984828933744703,0.9698880287407287,primate,
COD,-0.8977986169516246,8.789958367706298,-0.9971624697407865,0.9943329910595449,primate,0.522
